Tweet,Class
شمس مثقفة و جميلة وايد ... و احلام ههههععع ما اقول,P
احلام اني حبيتها اكثر لان  انظلمت كثير من الناس  هي امراه قويه وكبيره في عيونا وليسه محتشم,N
كبرلفك والله دايضحكون عليج,N
والله كلامه صحيح عن شمس,N
ذكرى ما نسيناك وما حد بينسينا صوتك الجميل وطيبتك وقدراتك الغير موجوده في أي بشر رحمك الله,N
الله يرحمك اسمعو صوتها وراح تتئكدون انتي النكره والنشاز إذا جاء اسم ذكرى توقفين احترام وتقدير لها مين قال ان صوتك حلو,P
اسمعي هاذا انت والصدفه ووش إخباري واحذرك وفرصه اخيره وجميع اغانيها اتحداك إذا قدرتي تتقني نص احساسها وصوتها والله يرحم الفن من بعدك ياذكرى,N
حتى الليبي اتقنته,N
غنت لجميع الدوول العربيه,N
,N
احلام   انسانة  فاقدة  توازنههديها ا  تحتاج  الى العلاج    اللة يهديها,P
الحمد لله ماراح تشارك,N
احلام عفويه واعتقد ان قلبها كثير طيب,N
والله فنانات لاشكل ولا منظر ولا صوت بدون  مكياج تقرف تنظر لهم  ولا اى حد عجبهم  لا حول ولا قوة الا بالله,N
اني عراقي وموت بحلام احسن مطربة بل خليجً وكلبهة طيب وعلى نياتهة,N
انى كتير بكرهه,N
ملكة انا بموت فيك وفشخصيتك القوية وفعفويتك ملكة ملكة,N
فيديو حقيقي لاحلام بس ممكن أعرف مين الصحفي اللباني الي كان عم بعلق كلامو دقيق وعم يحكي كناقد مختص,N
والله انتي كل صوت ماعندك وكل ادب واخلاق ماعندك,P
احلا تحيه لاحلام بس الناس مقهورين منها,N
شي ميشبه شي😒,N
سلام اين الادب اين الاخلاق كسيات عريات خشب جهنم ياويلك ياويلك الدنيا فنيا نش دايمة,N
"انتم ليش زعلانين من احلام .... ولا تزعلوا ولا على بالكم ...الله عز وجل قال ...
بسم الله الرحمن الرحيم .. 
ولا يحزنك كفرهم .. صدق الله العظيم
وبعدين بدل الشتايم لاحلام انا باقترح تبعتولها رسائل تذكير بالله.... وبعدين احلام قديش بدها تعيش... يعني بدها تعيش كمان عشرين ثلاثين سنة ... اخريتها بين يدي الله ... وكلٌ آتي الرحمن فردا ... ويا حسرة علّي ظيع عمره في معصية الله",N
هاي ليس فنانة  وناماء  حوانيه,P
لو كانت متعلمه ما كان هذا حالها نقطه لسطر,N
حافضة القران خخخخخخخ,N
البغتابون أحلام ايغارون منها,N
أحلام رووووووووعه بكل شي  احبببببببببببببببببببببك من كل قلبي,N
ملكة جمال الخليج,N
مسكين صاحب القناة مقهور جدا من أحلام ويجمع الفيديوهات  طب ليش هذا الحسد والغيره,N
"بدنا كنتاكي   عاجل 
تكفون ياشباب الي عنده كنتاكي يجيبه         علا كل مطاعم كنتاكي العجله  
ماودنا مشاكل",N
اصلن هو ارب ايدل جيبنه علمود ايضحكون على حجيه,N
والله طاح حضه بهل فديوات,N
احلام ست الكل  ومافي اطيب من قلبا ولو كره الكارهون هي الملكة,N
والله بيناقص منها رايح يتهنا منها البرنامج  ًويكونواحلا.,N
نن يفوز,N
بصراحة اول مره تقول شي صح شمس بتستعرض جسمها مش فنانه,N
